gene_id,24C,24N,27C,27N,29C,29N,30C,30N,31C,31N,32C,32N,33C,33N,34C,34N,35c,35N,36C,36N,37C,37N,38C,38N,39C,39N,41C,41N,42C,42N,43C,43N,46C,46N,47C,47N,49C,49N,50C,50N,51C,51N,53C,53N
ENSG00000019505,356,1599,1318,1342,1182,738,481,1248,1063,1547,744,1559,1038,893,3269,1065,666,1475,931,1253,1402,1225,563,867,520,815,2615,1172,741,443,4392,1852,828,2494,275,360,652,1575,1163,45,1265,716,3300,1383
ENSG00000019549,380,341,233,166,317,160,51,335,657,202,398,396,563,363,85,178,174,429,83,134,158,176,118,393,62,421,232,563,369,298,47,668,370,296,149,337,380,513,83,803,174,456,133,117
ENSG00000019582,11622,47370,22112,32946,61119,25546,102660,34773,22065,35949,26913,27290,31910,43481,13494,22011,9386,25666,16188,30319,11849,21508,23576,36935,9533,16355,19420,49389,11595,10883,4183,21215,20896,29967,29294,68832,31022,30633,10820,99644,46982,62438,37918,21174
ENSG00000019991,200,164,173,283,379,69,258,71,210,192,963,95,925,662,218,51,144,158,201,69,187,94,107,100,207,189,381,99,729,266,21,256,225,223,103,190,491,116,86,393,306,221,489,101
ENSG00000019995,669,577,354,450,521,342,340,537,491,537,601,708,370,426,467,571,497,499,352,373,415,309,205,405,312,296,410,547,535,439,546,448,799,748,1011,724,731,419,403,470,436,462,574,255
ENSG00000020129,478,256,315,266,873,177,496,222,542,494,740,390,440,427,896,274,447,507,335,226,402,203,207,237,209,272,619,254,262,220,559,299,830,489,1015,401,429,223,420,462,558,325,785,194
ENSG00000020181,949,253,382,387,993,58,247,156,725,834,771,516,537,215,259,279,266,810,102,484,112,230,76,416,27,302,224,406,215,94,86,423,1137,758,329,793,377,316,302,843,464,760,408,116
ENSG00000020219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
ENSG00000020256,1020,721,674,518,876,395,864,726,1272,559,1212,763,357,503,823,528,651,417,867,481,837,396,404,544,498,188,788,518,626,408,645,284,1464,550,2475,576,1375,495,1043,201,604,515,1447,396
ENSG00000020426,608,337,575,273,506,470,501,272,698,390,381,331,392,202,761,152,354,497,297,230,1029,307,853,241,749,244,951,236,1118,194,576,227,1080,414,542,256,884,326,388,230,580,311,503,167
